AccessID,CustomerID,AccessCategory,AccessDate,SessionDuration,PagesViewed,DeviceType,Browser,IPAddress,ReferrerURL,IsLoggedIn
126,249,seven,2024-05-11 20:51:40,45,2,Mobile,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/3.0),33.143.229.255,https://vaughn.net/,False
127,206,million,2024-01-07 11:34:57,30,10,Mobile,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/4.1),117.32.236.188,http://gordon.com/,False
128,281,those,2024-04-17 01:23:40,28,19,Mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; lzh-TW) AppleWebKit/531.32.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6531.32.6",29.183.225.63,http://barron.com/,False
129,235,knowledge,2024-04-17 21:19:35,95,5,Desktop,Mozilla/5.0 (Android 4.1.1; Mobile; rv:38.0) Gecko/38.0 Firefox/38.0,172.245.52.18,https://www.sanders.com/,False
130,166,recognize,2024-05-13 20:10:43,34,1,Tablet,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/10.0j2167.0 Mobile/79C982 Safari/532.1",93.14.0.245,http://brown-sanders.biz/,True
131,150,reality,2024-05-09 05:36:05,11,16,Tablet,Opera/9.16.(Windows CE; ug-CN) Presto/2.9.175 Version/10.00,131.235.9.159,https://www.garcia.com/,False
132,204,able,2024-04-20 13:04:38,16,3,Desktop,"Mozilla/5.0 (Linux; Android 3.1) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/40.0.852.0 Safari/535.2",23.223.122.15,https://munoz.info/,False
133,247,soon,2024-04-29 12:21:25,118,27,Desktop,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/535.31.6 (KHTML, like Gecko) Version/4.1 Safari/535.31.6",140.118.32.238,http://www.brown-moore.com/,True
134,78,choice,2024-03-05 05:29:04,71,12,Mobile,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.1),12.73.52.63,http://www.welch.com/,True
135,164,officer,2024-03-05 13:51:11,28,27,Mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/10.6r1995.0 Mobile/41Y196 Safari/531.1",153.21.31.159,https://butler.com/,True
136,46,he,2024-03-09 21:03:33,29,9,Mobile,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_2) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/20.0.832.0 Safari/532.2",108.120.169.86,https://garcia.com/,False
137,6,people,2024-04-29 11:52:32,99,20,Tablet,Mozilla/5.0 (Android 2.3.2; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,133.143.76.107,http://www.barnes.com/,False
138,216,former,2024-06-10 12:23:06,61,6,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/49.0.873.0 Safari/532.1",160.68.199.147,https://davidson.org/,True
139,175,issue,2024-03-06 06:48:28,9,10,Tablet,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/38.0.820.0 Safari/533.0",117.84.232.27,https://www.walker-gordon.info/,True
140,14,some,2024-02-17 08:06:52,15,22,Tablet,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; lij-IT) AppleWebKit/532.12.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6532.12.6",137.197.175.84,http://www.williams.info/,True
141,195,coach,2024-04-16 12:31:47,113,30,Tablet,Opera/8.18.(X11; Linux i686; bg-BG) Presto/2.9.187 Version/10.00,142.255.56.227,http://www.dillon.com/,True
142,84,amount,2024-03-01 02:55:28,25,4,Mobile,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/34.0.832.0 Safari/535.2",142.40.181.218,https://www.reyes.com/,False
143,250,century,2024-01-20 14:49:51,4,21,Tablet,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_0) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/31.0.841.0 Safari/534.1",164.242.251.32,https://higgins-elliott.com/,False
144,3,left,2024-05-14 12:53:51,23,26,Desktop,Opera/8.96.(Windows NT 5.2; kk-KZ) Presto/2.9.180 Version/12.00,219.193.163.190,http://www.coleman-henderson.com/,False
145,97,wide,2024-03-29 18:35:57,14,29,Mobile,"Mozilla/5.0 (Linux; Android 4.2.1) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/36.0.870.0 Safari/532.2",141.163.235.203,https://www.johnson-lee.com/,True
146,299,arm,2024-02-06 01:32:42,42,14,Desktop,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.1),110.129.213.9,http://www.bryant.net/,True
147,215,contain,2024-03-30 04:49:28,113,3,Tablet,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.1),129.213.126.29,https://www.blevins-hart.info/,False
148,180,mean,2024-04-24 10:54:46,24,11,Tablet,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/13.0l3970.0 Mobile/84I727 Safari/532.0",156.181.36.237,https://myers-king.org/,False
149,156,tough,2024-03-11 07:01:05,107,6,Mobile,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/4.1),85.132.84.248,https://www.rollins.biz/,True
150,276,list,2024-04-12 13:14:52,27,8,Mobile,Opera/8.19.(X11; Linux i686; sw-TZ) Presto/2.9.181 Version/12.00,117.41.88.167,https://hughes.info/,False
151,240,want,2024-04-04 03:41:29,81,17,Mobile,Opera/8.87.(Windows NT 5.2; os-RU) Presto/2.9.168 Version/10.00,175.181.98.208,http://www.costa.org/,True
152,84,responsibility,2024-03-10 21:46:40,8,1,Tablet,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/30.0.855.0 Mobile/98W633 Safari/533.0",34.202.115.254,http://maldonado.org/,True
153,165,practice,2024-02-17 21:21:46,50,6,Mobile,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/41.0.884.0 Safari/531.1",218.39.205.247,http://www.armstrong.info/,False
154,191,effort,2024-02-28 09:56:32,45,16,Desktop,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.1),83.168.167.97,https://www.clark-silva.net/,True
155,21,either,2024-02-27 16:47:42,40,9,Tablet,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_5; rv:1.9.6.20) Gecko/2020-05-15 11:26:37 Firefox/3.6.6,134.144.5.94,https://www.smith.com/,True
156,77,speak,2024-02-23 00:45:09,48,12,Desktop,Opera/8.43.(X11; Linux x86_64; ms-MY) Presto/2.9.186 Version/11.00,107.66.173.35,https://www.estes-soto.net/,True
157,267,serve,2024-06-18 06:19:50,120,3,Mobile,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/533.2.2 (KHTML, like Gecko) Version/4.0.5 Safari/533.2.2",204.94.190.164,https://www.dunn-zimmerman.org/,True
158,159,economy,2024-01-02 01:07:43,44,23,Desktop,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/12.9r5712.0 Mobile/48X026 Safari/534.2",172.114.58.84,https://www.weber.com/,True
159,272,both,2024-01-21 18:09:21,43,21,Tablet,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3 rv:3.0; km-KH) AppleWebKit/531.29.5 (KHTML, like Gecko) Version/4.1 Safari/531.29.5",155.240.12.223,http://pham-ramirez.net/,True
160,41,baby,2024-02-13 22:35:41,61,28,Mobile,"Mozilla/5.0 (Windows 95) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/39.0.856.0 Safari/531.1",192.119.59.53,https://blake.info/,True
161,175,federal,2024-02-14 00:35:07,62,4,Desktop,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; de-CH) AppleWebKit/532.33.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6532.33.1",209.125.39.178,https://www.riley-schroeder.com/,True
162,122,second,2024-05-03 00:36:33,10,9,Mobile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5 rv:5.0; et-EE) AppleWebKit/532.22.6 (KHTML, like Gecko) Version/4.1 Safari/532.22.6",8.87.0.10,https://www.hall-clark.biz/,False
163,235,authority,2024-01-24 18:32:15,83,7,Desktop,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/18.0.891.0 Safari/531.2",119.193.153.168,http://bryant-martinez.info/,False
164,74,common,2024-03-29 14:21:17,19,20,Mobile,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_8; rv:1.9.6.20) Gecko/2018-03-24 04:53:01 Firefox/8.0,44.225.79.100,http://miller.info/,True
165,57,theory,2024-05-07 05:26:52,73,14,Tablet,Opera/9.53.(X11; Linux x86_64; lo-LA) Presto/2.9.168 Version/11.00,102.233.141.161,https://espinoza.com/,False
166,165,adult,2024-05-06 11:54:03,74,27,Tablet,"Mozilla/5.0 (Linux; Android 4.0.4) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/18.0.880.0 Safari/531.2",140.88.80.223,http://www.wright.com/,True
167,221,himself,2024-04-18 06:54:03,30,26,Mobile,"Mozilla/5.0 (Linux; Android 4.0.2) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/46.0.838.0 Safari/535.0",172.114.202.71,http://mcintosh.com/,False
168,5,glass,2024-04-04 15:23:29,63,13,Mobile,Opera/9.17.(Windows 98; lg-UG) Presto/2.9.166 Version/10.00,2.23.243.141,http://walton.com/,False
169,286,toward,2024-03-04 03:34:10,29,12,Desktop,Mozilla/5.0 (Windows NT 5.0; pap-AW; rv:1.9.2.20) Gecko/2012-05-20 07:34:31 Firefox/3.6.20,169.196.220.150,https://johnson-durham.info/,True
170,244,sign,2024-05-26 02:38:37,116,25,Tablet,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.12.3 (KHTML, like Gecko) Version/4.1 Safari/533.12.3",119.217.29.218,https://payne.info/,True
171,133,there,2024-06-27 08:10:15,59,19,Mobile,Mozilla/5.0 (Android 2.2.3; Mobile; rv:12.0) Gecko/12.0 Firefox/12.0,199.243.57.252,http://lawson.info/,True
172,130,second,2024-03-11 07:32:53,118,16,Tablet,"Mozilla/5.0 (iPad; CPU iPad OS 14_2_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/10.7u0662.0 Mobile/46L791 Safari/534.0",57.238.14.127,https://ruiz-allen.biz/,True
173,47,floor,2024-06-17 23:09:51,117,22,Mobile,"Mozilla/5.0 (Linux; Android 3.2.5) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/17.0.887.0 Safari/532.1",29.215.242.133,https://trevino-oconnor.info/,True
174,235,attention,2024-04-14 13:29:20,112,18,Tablet,Opera/9.62.(Windows NT 5.01; sr-RS) Presto/2.9.169 Version/12.00,184.103.121.109,http://hill.net/,True
175,48,statement,2024-04-30 03:29:37,43,14,Mobile,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2015-11-23 14:33:46 Firefox/3.6.16,198.39.62.252,http://www.johnson-orozco.com/,True
176,49,above,2024-03-23 11:07:02,21,8,Mobile,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2012-01-20 08:04:09 Firefox/3.6.13,97.118.141.112,https://www.goodman.com/,False
177,136,similar,2024-04-24 19:37:50,79,24,Tablet,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/13.9t0248.0 Mobile/33T844 Safari/534.2",135.229.110.155,http://walker.info/,True
178,27,something,2024-05-22 17:38:27,92,29,Desktop,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/15.8n8338.0 Mobile/21S338 Safari/534.0",182.195.122.182,https://www.key-jordan.com/,False
179,102,soon,2024-06-05 10:23:45,58,30,Tablet,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/32.0.830.0 Mobile/92P873 Safari/533.1",62.234.65.228,http://www.dunn-lopez.com/,False
180,230,strong,2024-04-27 06:30:44,26,25,Tablet,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/12.1y8480.0 Mobile/19F537 Safari/532.2",133.165.48.34,https://haynes-jones.info/,False
181,163,debate,2024-06-23 06:48:04,24,28,Mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; ht-HT) AppleWebKit/533.18.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6533.18.7",108.126.93.70,http://www.peterson-miller.net/,True
182,247,fact,2024-06-24 15:12:43,111,30,Tablet,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/5.0),28.243.225.205,https://www.valencia.com/,False
183,114,method,2024-03-30 12:09:05,4,27,Desktop,Opera/9.26.(X11; Linux x86_64; hi-IN) Presto/2.9.183 Version/12.00,20.1.103.226,https://www.hicks.org/,True
184,293,day,2024-03-26 00:03:47,17,17,Mobile,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_5) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/30.0.810.0 Safari/532.1",64.187.101.179,http://williams-alvarez.biz/,True
185,164,probably,2024-04-28 05:33:10,28,12,Mobile,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_4 rv:4.0; bn-BD) AppleWebKit/534.2.6 (KHTML, like Gecko) Version/5.0.3 Safari/534.2.6",144.145.164.120,https://www.hodge.com/,False
186,189,apply,2024-02-24 23:15:53,107,12,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_7) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/19.0.818.0 Safari/534.0",218.231.152.38,http://www.horton.com/,True
187,217,their,2024-04-12 11:57:06,38,21,Desktop,Opera/8.18.(Windows 98; nds-NL) Presto/2.9.164 Version/11.00,8.206.253.203,https://benjamin.com/,True
188,159,magazine,2024-04-11 13:01:09,36,26,Mobile,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.40.4 (KHTML, like Gecko) Version/4.1 Safari/534.40.4",191.231.32.146,https://www.blanchard.com/,True
189,132,investment,2024-02-20 18:27:02,11,23,Desktop,Opera/9.97.(X11; Linux i686; tr-TR) Presto/2.9.169 Version/11.00,55.150.181.86,https://ryan.org/,True
190,244,rich,2024-01-22 17:58:04,77,12,Desktop,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_7; rv:1.9.3.20) Gecko/2023-10-20 11:12:36 Firefox/15.0,179.48.2.123,https://www.soto.com/,False
191,184,trade,2024-03-13 09:15:19,61,12,Tablet,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0 rv:4.0; om-KE) AppleWebKit/531.39.2 (KHTML, like Gecko) Version/5.0.3 Safari/531.39.2",51.101.138.36,http://sparks.com/,True
192,96,place,2024-02-19 15:33:48,1,14,Tablet,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/533.31.6 (KHTML, like Gecko) Version/5.1 Safari/533.31.6",12.183.251.174,http://www.brooks.com/,True
193,151,inside,2024-04-21 20:58:55,49,6,Desktop,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_5; rv:1.9.5.20) Gecko/2016-05-20 12:03:53 Firefox/13.0,170.68.7.21,http://www.morris.com/,True
194,128,head,2024-04-07 14:35:39,110,12,Tablet,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/535.12.7 (KHTML, like Gecko) Version/4.0.3 Safari/535.12.7",102.111.206.105,http://ellis.biz/,False
195,141,suffer,2024-04-26 19:17:12,24,11,Desktop,Opera/8.69.(X11; Linux i686; ks-IN) Presto/2.9.163 Version/12.00,16.203.255.184,http://adams.com/,True
196,293,bank,2024-02-27 12:28:11,19,21,Tablet,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/4.0),207.138.252.46,http://www.garcia.com/,True
197,174,source,2024-07-02 21:05:41,24,2,Desktop,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_3 rv:6.0; id-ID) AppleWebKit/533.34.2 (KHTML, like Gecko) Version/4.0.4 Safari/533.34.2",201.153.57.41,https://www.ward-rangel.net/,True
198,154,relationship,2024-06-11 13:08:21,5,7,Desktop,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/5.1),195.225.243.119,https://blanchard.com/,True
199,275,behavior,2024-06-11 22:38:40,34,1,Desktop,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.1),207.240.30.255,https://bennett.biz/,True
200,259,arrive,2024-06-11 16:00:23,101,13,Tablet,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_7 rv:3.0; mt-MT) AppleWebKit/534.17.6 (KHTML, like Gecko) Version/5.0 Safari/534.17.6",213.136.88.62,http://www.edwards.com/,False
